TIME,ORIGIN,FROM,SEQUENCE,ASPATH,PREFIX,NEXT_HOP
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457037,30132 1299 3356 8452 36992,197.124.128.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457038,30132 1299 174 8452 36992,197.124.192.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.209.167 AS6453,457039,6453 174 8452 36992,197.125.0.0/18,80.249.209.167
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457040,30132 1299 3356 8452 36992,197.125.64.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457041,30132 1299 3356 8452 36992,197.125.128.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457042,30132 1299 3356 8452 36992,197.125.192.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457043,30132 1299 174 8452 36992,197.126.0.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.209.167 AS6453,457044,6453 174 8452 36992,197.126.64.0/18,80.249.209.167
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457045,30132 1299 174 8452 36992,197.126.128.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457046,30132 1299 174 8452 36992,197.126.192.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457047,30132 1299 174 8452 36992,197.127.0.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457048,30132 1299 174 8452 36992,197.127.64.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457049,30132 1299 174 8452 36992,197.127.128.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457050,30132 1299 3356 8452 36992 36992 36992 36992 36992,197.127.192.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.210.99 AS50763,457999,50763 8943 3549 3356 174 8452 36992,197.192.0.0/13,80.249.210.99
03/07/16 00:00:03,IGP,80.249.211.217 AS8455,458000,8455 2914 174 8452 36992,197.192.0.0/17,80.249.211.217
03/07/16 00:00:03,IGP,80.249.208.149 AS15435,458001,15435 3257 3356 8452 36992,197.192.0.0/18,80.249.208.149
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458002,12859 2914 6453 36992,197.192.64.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458003,12859 2914 6453 36992,197.192.128.0/17,80.249.208.200
03/07/16 00:00:03,IGP,80.249.211.217 AS8455,458004,8455 2914 174 8452 36992,197.192.128.0/18,80.249.211.217
03/07/16 00:00:03,IGP,80.249.208.149 AS15435,458005,15435 3257 3356 8452 36992,197.193.0.0/18,80.249.208.149
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458006,12859 2914 3356 8452 36992,197.193.0.0/19,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458007,12859 2914 3356 8452 36992,197.193.32.0/19,80.249.208.200
03/07/16 00:00:03,IGP,80.249.209.167 AS6453,458008,6453 174 8452 36992,197.193.128.0/17,80.249.209.167
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458009,12859 2914 174 8452 36992,197.193.128.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458010,12859 2914 174 8452 36992,197.193.192.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,458011,30132 1299 3356 8452 36992,197.194.0.0/17,80.249.208.111
03/07/16 00:00:03,IGP,80.249.211.217 AS8455,458012,8455 2914 174 8452 36992,197.194.32.0/19,80.249.211.217
03/07/16 00:00:03,IGP,80.249.209.167 AS6453,458013,6453 174 8452 36992,197.194.64.0/18,80.249.209.167
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458014,12859 2914 3356 8452 36992,197.194.128.0/17,80.249.208.200
03/07/16 00:00:03,IGP,80.249.211.217 AS8455,458015,8455 2914 174 8452 36992,197.195.0.0/17,80.249.211.217
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458016,12859 2914 6453 36992,197.195.64.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.211.217 AS8455,458017,8455 2914 174 8452 36992,197.195.128.0/18,80.249.211.217
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458018,12859 2914 6453 36992 36992 36992 36992 36992 36992 36992,197.195.192.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458019,12859 2914 174 8452 36992,197.196.0.0/19,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458020,12859 2914 3356 8452 36992,197.196.32.0/19,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458021,12859 2914 3356 8452 36992,197.196.64.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458022,12859 2914 174 8452 36992,197.196.128.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458023,12859 2914 3356 8452 36992,197.196.128.0/19,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458024,12859 2914 3356 8452 36992,197.196.160.0/19,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458025,12859 2914 3356 8452 36992,197.196.192.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458026,12859 2914 3356 8452 36992,197.197.0.0/17,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.149 AS15435,458027,15435 3257 3356 8452 36992,197.197.192.0/18,80.249.208.149
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458028,12859 2914 174 8452 36992,197.198.0.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.211.217 AS8455,458029,8455 2914 174 8452 36992,197.198.64.0/18,80.249.211.217
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458030,12859 2914 3356 8452 36992,197.198.128.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.149 AS15435,458031,15435 3257 3356 8452 36992,197.198.192.0/18,80.249.208.149
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458032,12859 2914 3356 8452 36992,197.199.0.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458033,12859 2914 174 8452 36992,197.199.64.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458034,12859 2914 174 8452 36992,197.199.128.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.149 AS15435,458035,15435 3257 3356 8452 36992,197.199.224.0/20,80.249.208.149
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,458036,30132 6453 36992 36992 36992 36992 36992,197.199.241.0/24,80.249.209.167
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458037,12859 2914 6453 36992,197.199.244.0/24,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458038,12859 2914 6453 36992,197.199.245.0/24,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,458039,30132 1299 3356 8452 36992,197.199.248.0/24,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458040,12859 3257 8452 36992,197.199.253.0/24,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,458041,12859 2914 6453 36992,197.199.254.0/24,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207141,12859 2914 174 8452 36992,105.80.0.0/14,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.111 AS30132,207142,30132 3257 8452 36992,105.80.0.0/18,80.249.208.85
03/07/16 00:00:02,IGP,80.249.208.149 AS15435,207143,15435 174 8452 36992,105.80.64.0/18,80.249.208.149
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207144,12859 2914 174 8452 36992,105.80.128.0/18,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207145,12859 2914 174 8452 36992,105.80.192.0/18,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207146,12859 2914 174 8452 36992,105.81.0.0/18,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207147,12859 2914 174 8452 36992,105.81.64.0/18,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207148,12859 2914 174 8452 36992,105.81.128.0/18,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.200 AS12859,207149,12859 2914 174 8452 36992,105.81.192.0/18,80.249.208.200
03/07/16 00:00:02,IGP,80.249.208.149 AS15435,207150,15435 174 8452 36992,105.82.0.0/18,80.249.208.149
